,time,body_number,area_scaled,perimeter_scaled,circularity,AR
20,Sun Mar 23 18:12:56 2025,20,44736.0,927.5777772109134,0.653380762085872,1.4909044857959892
21,Sun Mar 23 18:12:56 2025,7,32576.0,745.2346314604056,0.7370917717687304,1.069772654886544
25,Sun Mar 23 18:12:56 2025,11,11840.0,748.2640687119285,0.2657368509480075,2.162843869391123
39,Sun Mar 23 18:12:56 2025,8,22720.0,707.1269837220809,0.5709832534682066,1.686329482238761
41,Sun Mar 23 18:12:56 2025,5,22848.0,908.0285706997457,0.34822426219815994,1.2843473913857972
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Sun Mar 23 18:13:14 2025,4,94016.0,1364.9301576774103,0.6341482157738689,1.2490522517879241
1,Sun Mar 23 18:13:14 2025,17,35840.0,852.5483399593904,0.6196405615010581,1.3355089169669205
2,Sun Mar 23 18:13:14 2025,15,24320.0,703.2935059634514,0.6178744261127722,1.6331161790260509
3,Sun Mar 23 18:13:14 2025,1,25600.0,695.0092347159894,0.6659914887098436,1.3095613934636825
4,Sun Mar 23 18:13:14 2025,3,33344.0,805.6366517139589,0.6455786058363211,1.0273787192607882
7,Sun Mar 23 18:13:14 2025,10,32192.0,944.9991334482229,0.4529966627219614,1.4240591950987924
9,Sun Mar 23 18:13:14 2025,13,37760.0,849.8031739553294,0.6570601855931031,1.0780541291158356
11,Sun Mar 23 18:13:14 2025,20,44224.0,893.6366517139589,0.6958985635325291,1.4486545757698317
12,Sun Mar 23 18:13:14 2025,7,32704.0,754.6072144624361,0.7217201524391422,1.0699339496624358
16,Sun Mar 23 18:13:14 2025,8,27584.0,845.3523804664972,0.48505562833072385,1.5898217192262016
19,Sun Mar 23 18:13:14 2025,5,30016.0,791.5777772109133,0.6019708953827236,1.1774146436702506
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Sun Mar 23 18:14:00 2025,4,94464.0,1345.9007204258876,0.6553150533300756,1.253894969132552
2,Sun Mar 23 18:14:00 2025,17,28672.0,763.6955262170047,0.6177707747736362,1.2043634060022537
3,Sun Mar 23 18:14:00 2025,15,24960.0,690.0386719675123,0.6587302140019311,1.6229173139625885
4,Sun Mar 23 18:14:00 2025,13,52544.0,1244.8813844421313,0.42606616756240095,1.4396905575425565
7,Sun Mar 23 18:14:00 2025,1,25088.0,690.3229432149742,0.6615631247052652,1.2945033969204243
8,Sun Mar 23 18:14:00 2025,10,21120.0,736.9503602129438,0.48868308509191277,1.1198614758915317
12,Sun Mar 23 18:14:00 2025,3,26048.0,881.8031739553295,0.42096009800665246,1.0941760636385869
14,Sun Mar 23 18:14:00 2025,20,41984.0,888.9503602129437,0.6676343249483002,1.3851993791673654
16,Sun Mar 23 18:14:00 2025,5,37888.0,915.7442994522838,0.567757783871227,1.2607756442766131
19,Sun Mar 23 18:14:00 2025,7,32256.0,746.3229432149742,0.7277241523752679,1.0619412083763156
22,Sun Mar 23 18:14:00 2025,8,35840.0,913.5189027078677,0.5396880333477588,1.442306466955017
26,Sun Mar 23 18:14:00 2025,14,8704.0,732.2152954766495,0.20400985767369226,1.5002091307130625
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Sun Mar 23 19:05:09 2025,4,92096.0,1362.4692629208112,0.6234436488464228,1.282156183476287
1,Sun Mar 23 19:05:09 2025,17,11904.0,494.6761902332486,0.6113089686043767,1.2298881559949333
10,Sun Mar 23 19:05:09 2025,13,62976.0,1140.0285706997456,0.6089105033508362,1.466182051924782
11,Sun Mar 23 19:05:09 2025,15,22272.0,679.2935059634513,0.6065326112827277,1.7548301028534532
13,Sun Mar 23 19:05:09 2025,6,15424.0,590.1564209736038,0.5565095317994321,1.7108590483787234
19,Sun Mar 23 19:05:09 2025,1,19584.0,651.6955262170047,0.5794577626142565,1.2595032320838144
21,Sun Mar 23 19:05:09 2025,5,46400.0,952.9991334482229,0.6420115379638996,1.139271768163615
25,Sun Mar 23 19:05:09 2025,2,23104.0,663.8132752230961,0.658878252635118,1.066183501252863
29,Sun Mar 23 19:05:09 2025,20,34112.0,848.9503602129437,0.5947746541842517,1.411840788438153
32,Sun Mar 23 19:05:09 2025,8,44032.0,947.6955262170046,0.616084972051781,1.1568580840163698
33,Sun Mar 23 19:05:09 2025,7,26560.0,701.920922961421,0.6774255279644414,1.1520202261136485
36,Sun Mar 23 19:05:09 2025,14,30848.0,821.920922961421,0.573821483767379,1.1506126445845553
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Sun Mar 23 19:39:16 2025,4,92032.0,1324.6458864299484,0.659096694740525,1.2328457580710594
2,Sun Mar 23 19:39:16 2025,17,40000.0,888.1463197058372,0.6372367504787887,1.4638567133567248
3,Sun Mar 23 19:39:16 2025,15,23744.0,741.920922961421,0.5420614343897701,1.6100739427794892
7,Sun Mar 23 19:39:16 2025,3,38080.0,838.4894654563448,0.680630775752085,1.0894054536591173
10,Sun Mar 23 19:39:16 2025,1,25792.0,743.5777772109133,0.5861949604571882,1.309324164878057
11,Sun Mar 23 19:39:16 2025,10,37696.0,915.1757569573599,0.5655827022414684,1.5605473340008178
15,Sun Mar 23 19:39:16 2025,13,28032.0,966.7737367038067,0.37688969300164854,1.249446600125081
20,Sun Mar 23 19:39:16 2025,20,44736.0,927.5777772109134,0.653380762085872,1.4909044857959892
21,Sun Mar 23 19:39:16 2025,7,32576.0,745.2346314604056,0.7370917717687304,1.069772654886544
25,Sun Mar 23 19:39:16 2025,11,11840.0,748.2640687119285,0.2657368509480075,2.162843869391123
39,Sun Mar 23 19:39:16 2025,8,22720.0,707.1269837220809,0.5709832534682066,1.686329482238761
41,Sun Mar 23 19:39:16 2025,5,22848.0,908.0285706997457,0.34822426219815994,1.2843473913857972
